Model version,mean_score,Best score (across scorers),Release date,Organization,Country,Training compute (FLOP),Training compute notes,stderr,Log viewer,Logs,Started at,id
kimi-k3_low,0.12,0.12,2026-07-16,Moonshot,China,2.0001e+25,"Based on peer models such as Kimi K2.6 and DeepSeek V4 Pro, plausibly was trained on roughly 30T tokens (likely between 15T and 60T). Using the heuristic that C = 6ND, 30T pretraining tokens would imply ~1.9e25 FLOP. This is a somewhat uncertain estimate (more uncertain than estimates based on disclosed active params and token counts, but comparable to estimates based on disclosed GPU-hours).

K3 was likely pretrained on over 1e25 FLOP. Speculatively, K3's relatively large size compared to other Chinese models may have reduced the training token budget vs smaller models.",0.032659863237109045,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/CAoLSNkdR27AmHb84fnr8B.eval,2026-08-29T11:05:21.000Z,CAoLSNkdR27AmHb84fnr8B
qwen3.7-flash,0.15,0.15,2026-07-27,Alibaba,China,,,0.03588702812826367,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/5e4Jp9dxtNisWx2wbRRZxM.eval,2026-08-28T07:12:24.000Z,5e4Jp9dxtNisWx2wbRRZxM
gpt-5.6-terra_medium,0.1,0.1,2026-07-09,OpenAI,United States of America,,,0.03015113445777636,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/WcCQQSHTFAhXk6qCWEeSLh.eval,2026-08-28T07:12:23.000Z,WcCQQSHTFAhXk6qCWEeSLh
gpt-5.2-2025-12-11_medium,0.22,0.22,2025-12-11,OpenAI,United States of America,,,0.041633319989322654,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/KHS8JvzY7n9EFgpcjEkj5v.eval,2026-08-28T07:12:01.000Z,KHS8JvzY7n9EFgpcjEkj5v
gpt-5.5_low,0.28,0.28,2026-04-23,OpenAI,United States of America,,,0.045126085985421296,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/QHfAMMDjjzQF6xitN2vBbA.eval,2026-08-28T07:11:53.000Z,QHfAMMDjjzQF6xitN2vBbA
qwen3.7-plus,0.17,0.17,2026-06-02,Alibaba,China,,,0.03775251680686369,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/DmptTSPXx5uM5TYZoV59JT.eval,2026-08-28T07:11:35.000Z,DmptTSPXx5uM5TYZoV59JT
gpt-5.4-2026-03-05_medium,0.28,0.28,2026-03-05,OpenAI,United States of America,,,0.04512608598542129,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/ereDhnap4G3Q6ydsNQW97W.eval,2026-08-28T07:11:31.000Z,ereDhnap4G3Q6ydsNQW97W
gpt-4-0613,0.12,0.12,2023-06-13,OpenAI,United States of America,2.1e+25,"90% CI: 8.2E+24 to 4.4E+25

NOTE: this is a rough estimate based on public information, much less information than most other systems in the database.

Calculation and confidence intervals here: https://colab.research.google.com/drive/1O99z9b1I5O66bT78r9ScslE_nOj5irN9?usp=sharing",0.032659863237109045,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/CvujZuqfj5r7qsa52Smyx9.eval,2026-08-28T07:08:14.000Z,CvujZuqfj5r7qsa52Smyx9
o3-2025-04-16_high,0.29,0.29,2025-04-16,OpenAI,United States of America,,,0.04560480215720687,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/FmLdgAHVM7MPn3JebBvxTb.eval,2026-08-27T19:27:05.000Z,FmLdgAHVM7MPn3JebBvxTb
o4-mini-2025-04-16_high,0.05,0.05,2025-04-16,OpenAI,United States of America,,"We can’t make a precise estimate, but seems unlikely to exceed 10^25 FLOP. We think active parameter count is 10-30B. This would require >55T tokens to reach 10^25 FLOP at the large size, i.e. well beyond 10x overtraining relative to Chinchilla.",0.02190429135575903,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/eJbFTXaxZjnW7HNR93u3WH.eval,2026-08-27T19:26:53.000Z,eJbFTXaxZjnW7HNR93u3WH
o3-2025-04-16_medium,0.23,0.23,2025-04-16,OpenAI,United States of America,,,0.04229525846816507,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/cxniYPW74ux4L6syqvPkaD.eval,2026-08-27T19:22:47.000Z,cxniYPW74ux4L6syqvPkaD
qwen3.6-flash,0.12,0.12,2026-04-27,Alibaba,China,,,0.03265986323710904,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/2y5jXmHGjyEyZvGjNDtRZe.eval,2026-08-27T19:18:34.000Z,2y5jXmHGjyEyZvGjNDtRZe
