Model version,Scaffold,Average (%),Release date,Organization,Country,Training compute (FLOP),Training compute notes,Name,Average SD (%),id
claude-fable-5_max,Claude Code,0.4179,2026-06-09,Anthropic,United States of America,,,Fable 5 (Max),0.0174,recP6ZrDsWrdqbEmt
gpt-5.6-sol_max,Codex CLI,0.36229999999999996,2026-07-09,OpenAI,United States of America,,,GPT 5.6 (Sol) (Max),0.0022,rec563GDCdzdGWynR
claude-opus-5_unknown,Claude Code,0.3504,2026-07-24,Anthropic,United States of America,,,Opus 5,0.0138,recxqR2bWuWATTQi2
claude-opus-4-8_high,Claude Code,0.33840000000000003,2026-05-28,Anthropic,United States of America,,,Opus 4.8 (High),0.0358,recXnLB0qsZWf1z1O
claude-opus-4-8_max,Claude Code,0.329,2026-05-28,Anthropic,United States of America,,,Opus 4.8 (Max),0.0575,recxwUdcUZfUJ0Ajy
kimi-k3_unknown,Claude Code,0.3196,2026-07-16,Moonshot,China,2.0001e+25,"Based on peer models such as Kimi K2.6 and DeepSeek V4 Pro, plausibly was trained on roughly 30T tokens (likely between 15T and 60T). Using the heuristic that C = 6ND, 30T pretraining tokens would imply ~1.9e25 FLOP. This is a somewhat uncertain estimate (more uncertain than estimates based on disclosed active params and token counts, but comparable to estimates based on disclosed GPU-hours).

K3 was likely pretrained on over 1e25 FLOP. Speculatively, K3's relatively large size compared to other Chinese models may have reduced the training token budget vs smaller models.",Kimi K3,0.0026,reczFkgvLx23FFjG9
glm-5.2_max,Claude Code,0.317,2026-06-16,Z.ai (Zhipu AI),China,,,GLM 5.2 (Max),0.021400000000000002,recFx69MKlTBBGigF
claude-opus-4-7_xhigh,Claude Code,0.2856,2026-04-16,Anthropic,United States of America,,,Opus 4.7,0.0174,recbaD2sTNbt5xVFL
gpt-5.5_xhigh,Codex CLI,0.2723,2026-04-23,OpenAI,United States of America,,,GPT 5.5 (xHigh),0.005600000000000001,recMSOXhMGW3VztFi
grok-4.5_high,Cursor CLI,0.2345,2026-07-08,xAI,United States of America,,,Grok 4.5 (High),0.0009,rec4HQ0qLNJVhRyw9
gemini-3.1-pro-preview,OpenCode,0.21989999999999998,2026-02-19,Google DeepMind,United States of America,,,Gemini 3.1 Pro,0.018000000000000002,recZWNED3JvA1VUDZ
gpt-5.4-2026-03-05_high,Codex CLI,0.19,2026-03-05,OpenAI,United States of America,,,GPT 5.4 (High),0.029900000000000003,recA3c9MYtvW1Fxb8
